               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078234,            0.035231,             0.03149,             0.83885,             0.11981,             0.12334,            0.064667,            0.038639,            0.015368,            0.015517,            0.070203,           0.0033108,           0.0033108
                   1,            0.056824,            0.029987,            0.014091,             0.82321,             0.14936,             0.20372,             0.11098,            0.033822,            0.012586,             0.01023,             0.04017,           0.0066113,           0.0066113
                   2,            0.053485,            0.026549,           0.0098185,              0.6404,             0.33789,             0.33628,             0.20728,            0.030536,            0.011387,            0.006343,            0.010104,           0.0098787,           0.0098787
                   3,            0.051117,            0.025575,            0.007082,             0.76694,             0.31728,             0.40592,             0.22604,            0.031857,            0.011567,           0.0074123,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047193,            0.025996,           0.0064952,             0.73194,             0.35362,             0.39586,             0.17247,            0.032384,            0.011529,           0.0047893,           0.0098515,           0.0098515,           0.0098515
                   5,            0.043815,            0.025286,           0.0066822,              0.8177,             0.43704,             0.49009,             0.30479,            0.023325,            0.011285,           0.0035527,            0.009802,            0.009802,            0.009802
                   6,            0.041586,            0.024941,           0.0060208,             0.78753,             0.37142,             0.43349,              0.2524,            0.030006,            0.011415,            0.006654,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040568,            0.025313,           0.0053816,             0.78664,             0.45184,              0.4965,             0.28846,            0.025524,            0.011087,           0.0044998,            0.009703,            0.009703,            0.009703
                   8,             0.03894,            0.024365,           0.0044049,              0.7734,              0.4825,             0.46513,             0.28707,            0.022921,            0.010875,           0.0027352,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037916,             0.02414,           0.0047609,             0.80037,             0.48919,             0.51856,             0.30524,            0.027209,            0.010696,           0.0044899,            0.009604,            0.009604,            0.009604
                  10,            0.037469,            0.024382,           0.0046889,             0.75698,             0.45537,             0.47492,             0.31124,            0.022895,            0.011284,           0.0018894,           0.0095545,           0.0095545,           0.0095545
                  11,            0.037477,             0.02425,           0.0034707,             0.80697,             0.42019,              0.5002,             0.32406,            0.023918,             0.01114,           0.0022446,            0.009505,            0.009505,            0.009505
                  12,            0.037029,            0.023587,           0.0047352,             0.79209,              0.4836,             0.56362,             0.36798,            0.019886,            0.010749,           0.0019939,           0.0094555,           0.0094555,           0.0094555
                  13,             0.03559,            0.022946,           0.0029972,             0.81468,              0.4881,             0.52082,              0.3227,            0.023731,            0.010558,            0.002485,            0.009406,            0.009406,            0.009406
                  14,            0.035541,             0.02289,            0.003708,             0.83897,             0.47448,             0.55677,             0.36391,            0.020958,            0.010601,           0.0023118,           0.0093565,           0.0093565,           0.0093565
                  15,              0.0354,            0.023214,           0.0034437,                0.83,             0.50062,             0.65709,             0.40197,            0.021351,            0.010347,           0.0016801,            0.009307,            0.009307,            0.009307
                  16,            0.035716,            0.022459,           0.0028897,             0.58774,             0.67027,             0.66805,             0.39633,             0.02107,             0.01033,           0.0013864,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032658,            0.022654,           0.0032631,              0.7981,             0.53323,             0.67736,             0.41723,            0.019353,            0.010565,           0.0010195,            0.009208,            0.009208,            0.009208
                  18,            0.033298,            0.021796,            0.002396,             0.54898,             0.65719,             0.68064,             0.42204,            0.019828,            0.010305,           0.0012113,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032902,            0.021819,           0.0023799,             0.86846,             0.51799,             0.73332,             0.45877,            0.020104,            0.010268,           0.0012979,            0.009109,            0.009109,            0.009109
